Review,cleaned_review,sentiment
"I am writing this review to talk about a concern about booking a flight in advance and being charged a standby fee. On Aug 16, I booked a flight with Southwest Airlines under reservation #4tcehq. My booking included a return flight, but I encountered an issue that led to an unexpected fee due to my return flight being placed on standby. On my day of departure, I confirmed my flight from MCO, only to discover that my flight was on standby and subject to an additional fee. I was not informed of the standby status or the associated fee before this confirmation, which created an inconvenience and an unexpected expense to me. i spoke with a supervisor named Dennis who was very rude and hung up the phone on me. I will never fly this airline again.",writing review talk concern booking flight advance charged standby fee aug booked flight southwest airlines reservation tcehq booking included return flight encountered issue led unexpected fee due return flight placed standby day departure confirmed flight mco discover flight standby subject additional fee informed standby status associated fee confirmation created inconvenience unexpected expense spoke supervisor named dennis rude hung phone never fly airline,negative
"During the Holidays of 2022, I relocated across country, booked a trip home during  xmas shutdown at work, (NOT FLEXABLE)  flights were canceled for 5 day, by return could not be changed, therfore I had 1.5 days home with family.   Received 800 dollars in fight vouchers, but (still unpacking, not flying) they all expired, I asked for extension, denied.   DONE Flying Southwest Airlines For Life.",holidays relocated across country booked trip home xmas shutdown work flexable flights canceled day return could changed therfore days home family received dollars fight vouchers still unpacking flying expired asked extension denied done flying southwest airlines life,neutral
"I’ve been a southwest customer for over 40 years. In the early days, I loved traveling with them. They had low fares and interesting facing seats. As they grew so did their bureaucracy. When Herb retired, I knew the airline would go down hill… as it has. They are no different from American or Delta now. Old crotchety flight attendants",ive southwest customer years early days loved traveling low fares interesting facing seats grew bureaucracy herb retired knew airline would go hill different american delta old crotchety flight attendants,positive
"Our flight was scheduled to leave Las Vegas at 2:55 PM. With no announcements in the gate area, the flight was quietly delayed to 3:15 PM, then 3:50 PM, then 4:15 PM, then 4:55 PM. Even as I write this review, there still has not been an official reason given for the delay. We have been told as passengers that we will “get to our destination, as soon as we can“. I find this insufficient. With corporate executives making millions of dollars just last year and flying around on their own private planes, they are not (and will never be) subjected to the shocking levels of inconvenience and stress caused by aircraft delays. Many that are stuck here with me are missing important family events, or connecting flights. The contempt shown for passengers who paid them good money (and who are responsible for their rise to a nationally recognized airline) is amazing. I have flown Southwest for 16 years, and this flight will be my absolute last. If there is anyway possible to avoid using Southwest airlines, I would encourage readers to do so.",flight scheduled leave las vegas pm announcements gate area flight quietly delayed pm pm pm pm even write review still official reason given delay told passengers get destination soon find insufficient corporate executives making millions dollars last year flying around private planes never subjected shocking levels inconvenience stress caused aircraft delays many stuck missing important family events connecting flights contempt shown passengers paid good money responsible rise nationally recognized airline amazing flown southwest years flight absolute last anyway possible avoid using southwest airlines would encourage readers,positive
"I've flown 3 times this year on Southwest and at each interval I have had a great experience, even when things went wrong. During my most recent flight my app wasn't letting me display the boarding pass, but the counter agent remedied that immediately with a printed ticket.I called in on a few occasions to have an agent book my flight and I didn't wait a long time. They were helpful and informative. The flights were from Long Beach Airport and Sacramento and at each location it was easy to board/deplane. The prices are well within reason and the process to book is very simple.",ive flown times year southwest interval great experience even things went wrong recent flight app wasnt letting display boarding pass counter agent remedied immediately printed ticketi called occasions agent book flight didnt wait long time helpful informative flights long beach airport sacramento location easy boarddeplane prices well within reason process book simple,positive
Southwest discriminate against me because I have a disability.,southwest discriminate disability,neutral
Sitting in Tampa for 6 hours trying to get home. Flight got delayed 3 times before cancelling it at 9:30pm. Southwest denied any compensation or hotel rooms. Worst experience I could’ve asked for this trip.,sitting tampa hours trying get home flight got delayed times cancelling pm southwest denied compensation hotel rooms worst experience couldve asked trip,negative
Just called Southwest Customer Service because I noticed I transposed two letters of my wife's name on the reservation and couldn't figure out why the app or website wouldn't let me correct it.  It cost $75 for them to correct it which is ridiculous and took me 30 minutes.  That is straight up criminal for an error I noticed on a reservation that doesn't take place for 2 months.,called southwest customer service noticed transposed two letters wifes name reservation couldnt figure app website wouldnt let correct cost correct ridiculous took minutes straight criminal error noticed reservation doesnt take place months,negative
"Lauren was my flight attendant for austin to Vegas. I rang the bell to ask for a snack earlier than before end of flight. Instead of a simple no. She said ""you didn't see the food before the plane?""Of course I did I just needed to board the plane on time.Said if I ring the bell one more time ""we're done""Woah.They train their people to have superiority complex issues",lauren flight attendant austin vegas rang bell ask snack earlier end flight instead simple said didnt see food planeof course needed board plane timesaid ring bell one time donewoahthey train people superiority complex issues,negative
Southwest rep just told me that purchasing earlybird doesn't automatically guarantee an A position and if you change your flight ypu give up earlybird yet I never saw a reimbursement since airfare was paid for in April. I signed up for earlybird and SOUTHWEST changed my flight. My boarding pass showed no earlybird yet my original ticket shows earlybird. No refund for either flight,southwest rep told purchasing earlybird doesnt automatically guarantee position change flight ypu give earlybird yet never saw reimbursement since airfare paid april signed earlybird southwest changed flight boarding pass showed earlybird yet original ticket shows earlybird refund either flight,positive
"Every time, without fail, this airline is at LEAST 30 minutes late. I avoid this crappy airline if I can but unfortunately sometimes I have  to take a one way because the return time I want isn’t available on better, less crappy airlines. I’d almost rather not travel at all than sit on this cattle car and bake because the AC sucks while you are sitting, waiting. Pay for business class but why? Still packed airplanes with zero leg room and no arm room. So frustrating.",every time without fail airline least minutes late avoid crappy airline unfortunately sometimes take one way return time want isnt available better less crappy airlines id almost rather travel sit cattle car bake ac sucks sitting waiting pay business class still packed airplanes zero leg room arm room frustrating,negative
"I am 47 years old and a frequent flyer on Southwest. I have never encountered this kind of customer service on any airline before in my life.Barry is the name of the flight attendant that yelled at my 3 yr old daughter. She was sitting at the window seat. I was sitting in the aisle seat and my wife was in between us.I woke up to Barry leaning over me with his head right in front of my face yelling forcefully and directly to my 3 yr old daughter. My wife was in shock and froze.My daughter had put some decorative children’s tape on the window and seat in front of her. It peels off very easily. It’s one of several plane activities my wife had prepared for our young daughter. We removed the tape immediately.I don’t mind Barry asking me to remove the children’s tape or for my daughter not to put children’s decorative tape on the window and seat but his tone was intimidating and scary. His aggression toward my 3 yr old daughter was uncalled for, rude, and embarrassing. He is a loose canyon.I could hear others around me talking about how he acted and I decided to try and say something to him.Next time he came around, I politely tried to suggest to him that he did not need to use that tone with my 3 yr old daughter. He immediately snapped cutting me off and said something like, “if you don’t like it, write a letter to Southwest”. I couldn’t believe it.I had tried to ask him nicely and he was doubling down. He continued, “this is not your property, if you think it is ok to deface someone else’s property, then write a letter to Southwest”.I was calm and was trying to talk to him discreetly, but he was loud and made a scene.I said, “I didn’t say anything about WHAT you said, I’m talking about ‘how’ you said it”. He did not seem to understand the distinction.He said, “I don’t have time for this. If you have a problem with what I said, write a letter to Southwest”It was a very unpleasant experience and I hope no one else has to go through that.",years old frequent flyer southwest never encountered kind customer service airline lifebarry name flight attendant yelled yr old daughter sitting window seat sitting aisle seat wife usi woke barry leaning head right front face yelling forcefully directly yr old daughter wife shock frozemy daughter put decorative childrens tape window seat front peels easily one several plane activities wife prepared young daughter removed tape immediatelyi dont mind barry asking remove childrens tape daughter put childrens decorative tape window seat tone intimidating scary aggression toward yr old daughter uncalled rude embarrassing loose canyoni could hear others around talking acted decided try say something himnext time came around politely tried suggest need use tone yr old daughter immediately snapped cutting said something like dont like write letter southwest couldnt believe iti tried ask nicely doubling continued property think ok deface someone elses property write letter southwesti calm trying talk discreetly loud made scenei said didnt say anything said im talking said seem understand distinctionhe said dont time problem said write letter southwestit unpleasant experience hope one else go,positive
"I arrived in Orlando 2 hours early for my flight to Columbus. Was told at desk since I was more than an hour early I had to leave my bags with an overweight young lad with his shirt out and a F you attitude. I put my golf bag on a cart , he took my suitcase and threw it on the floor inside a room. Upon arrival in Columbus, I got my golf bag but not my suitcase. Along with 27 others who were missing luggage. We were told by the baggage people to fill out a form and when the luggage arrived we could either pick it up (along with a $300 certificate) or they would bring it to us THAT NIGHT. I live 2 hours away. I chose for them to deliver it. When they called and said they had it, and confirmed my address (which I had already done with their worthless online app), I was told I was outside their delivery area and I could either come pick it up or they’d have Fed Ex deliver in three days. I’m working next three days so I can’t go get it. Half the clothes I have are in that suitcase. I have one appropriate outfit to wear the next three days to work. It was not my fault they missed 28 bags (probably due to that young boys lackadaisical attitude. Their customer service sucks",arrived orlando hours early flight columbus told desk since hour early leave bags overweight young lad shirt f attitude put golf bag cart took suitcase threw floor inside room upon arrival columbus got golf bag suitcase along others missing luggage told baggage people fill form luggage arrived could either pick along certificate would bring us night live hours away chose deliver called said confirmed address already done worthless online app told outside delivery area could either come pick theyd fed ex deliver three days im working next three days cant go get half clothes suitcase one appropriate outfit wear next three days work fault missed bags probably due young boys lackadaisical attitude customer service sucks,negative
"They apparently are counting small fanny packs now. I suppose it makes sense since I heard they plan to start counting neck pillows. Soon they will probably start limiting people to one bag total. Flight staff are inconsistent. Some of them are helpful, others will nitpick you.",apparently counting small fanny packs suppose makes sense since heard plan start counting neck pillows soon probably start limiting people one bag total flight staff inconsistent helpful others nitpick,negative
"We were traveling from Pittsburgh to Baltimore, then connecting to Raleigh Durham.  Flight 1714, July 11, 2024, Boarding at 12:50 PM.   My husband and I are seniors I'm 79, he's 83.  I have COPD.  The Customer Service Agent (Phyllis) saw my distress when I arrived at her desk, got me a wheelchair and got one for my husband too!  She was a sweetie, very attentive to our needs and a Hugh compliment to your Airline.  In my younger days I worked in hospitality and in fact, taught customer service in several hotels from Pittsburgh to Washington DC.  Please reward this sweet lady, she's an asset to your Airline.",traveling pittsburgh baltimore connecting raleigh durham flight july boarding pm husband seniors im hes copd customer service agent phyllis saw distress arrived desk got wheelchair got one husband sweetie attentive needs hugh compliment airline younger days worked hospitality fact taught customer service several hotels pittsburgh washington dc please reward sweet lady shes asset airline,positive
"The no assign seating practice is highly inappropriate. This is a country of selfish people who like their space. It makes no sense. Today takes the cake though. There were 2 empty seats back by the bathroom and they didn’t allow anyone to sit there on a very full plane. As someone traveling with their spouse and who uses the bathroom a lot; it sucks. You can screen share or be with them. If the plane crashes you’re all alone even if you didn’t travel alone. Why even assign seats in the ticket if it’s total bs. People aren’t kind to move and flight attended aren’t gonna play that game. Everything else about southwest is pretty dope; so to be fair I give 3 stars. Also, the snacks are peanut free but have multiple other of the top deadly allergies and they have the audacity to call it an allergy friendly snack. My allergies disagree as does the nutritional label (see ingredients list).",assign seating practice highly inappropriate country selfish people like space makes sense today takes cake though empty seats back bathroom didnt allow anyone sit full plane someone traveling spouse uses bathroom lot sucks screen share plane crashes youre alone even didnt travel alone even assign seats ticket total bs people arent kind move flight attended arent gonna play game everything else southwest pretty dope fair give stars also snacks peanut free multiple top deadly allergies audacity call allergy friendly snack allergies disagree nutritional label see ingredients list,positive
"Overall, a descent airline all things considered- but then again travel isn’t what it use to be… in my most humble but accurate opinion, the enjoyment, the experience of flying to see family, or the excitement of taking a vacation to someplace where you’ve never been, is lacking. More like being a seat assignment than a passenger. And certainly cellphone phones have added significantly to the equation of making us a very impersonal society.",overall descent airline things considered travel isnt use humble accurate opinion enjoyment experience flying see family excitement taking vacation someplace youve never lacking like seat assignment passenger certainly cellphone phones added significantly equation making us impersonal society,positive
"I personally only fly Southwest.  I absolutely love them! As someone who is disabled they have made travel so much easier for me and their staff is so friendly and amazing.  I've never had an issue with Southwest and based on my experiences if I do, I'm sure they'll help figure out a solution.  My only suggestion is that BWI is fully redone inside.  It could use a people mover system for sure, but that's largely out of their control.   Their operations though out of Rochester, NY are superb as are their operations out of Orlando and BWI.",personally fly southwest absolutely love someone disabled made travel much easier staff friendly amazing ive never issue southwest based experiences im sure theyll help figure solution suggestion bwi fully redone inside could use people mover system sure thats largely control operations though rochester ny superb operations orlando bwi,positive
"If I could give Southwest Airlines no stars I would. After a recent trip to Vail Colorado for my son’s wedding  my flight home to Charleston was a nightmare. After boarding the plane a medical supervisor told us we had to deplane ,holding up the rest of the plane, as my husband told the check in person that  he had some altitude sickness in Vail. He was fine in Denver and felt fine on the plane. After quite the embarrassment,they made us leave and said we could be checked out by their EMT.  The EMT determined  my husband was fine but they still wouldn’t let us back on the plane. After kicking us off the flight for no apparent reason, they didn’t  even offer to help rebook and let us stay at the airport for a day and a half to get home to Charleston without any assistance. If they thought my husband was so sick so he couldn’t fly, which was not the case,they should’ve been more sympathetic and helpful. Poor everything!",could give southwest airlines stars would recent trip vail colorado sons wedding flight home charleston nightmare boarding plane medical supervisor told us deplane holding rest plane husband told check person altitude sickness vail fine denver felt fine plane quite embarrassmentthey made us leave said could checked emt emt determined husband fine still wouldnt let us back plane kicking us flight apparent reason didnt even offer help rebook let us stay airport day half get home charleston without assistance thought husband sick couldnt fly casethey shouldve sympathetic helpful poor everything,positive
If I could leave less then 1 star I would.  My experience has been poor from start to finish twice I have been delayed.  One delay was long they caused me to miss my connection flight.  They didn't even bother assisting me with finding a new flight until I went to the customer service booth. The 2nd time they ask us to line up to board and then tell us to sit....the pilot called out.  I will never book with this airline ever again.  I have been treated as if I bought my ticket from a bargain basement sale,could leave less star would experience poor start finish twice delayed one delay long caused miss connection flight didnt even bother assisting finding new flight went customer service booth nd time ask us line board tell us sitthe pilot called never book airline ever treated bought ticket bargain basement sale,negative
"The 1135 Southwest flight from Cancun ti Atlanta was significantly delayed. Fortunately we were met with an understanding, courteous, and professional crew of flight attendants that served us with polite responses to the delays, emphathtic engagement about the delays, and went beyond the call of duty to provide updates about connecting flights that were on time, gone, or delayed.  The fact that they even provided instructions to assist the passengers with missed connections was just an amazing act of kindness.   Some customers were very rude about the delays and but your team of flight attendants met their negativity with professional grace and positivity while explaining the delays to the best if their abilitity.  The level of humor, engagement, quality service, professionalism, and empathy was wonderful.  Please celebrate and congratulate the following crew for an AMAZING job done:  Celestine Armstead, Derric Allen Rogers, and Phillip Jefferey Sorel!  Please donʼt forget the pilot team as well:  Captain Leon Boyd Newman Jr. and Flight Officer Christian Winford Barnes!  Thanks again for an excellent job done in the mist of a difficult situation that was out of their control.  I Love Southwest!",southwest flight cancun ti atlanta significantly delayed fortunately met understanding courteous professional crew flight attendants served us polite responses delays emphathtic engagement delays went beyond call duty provide updates connecting flights time gone delayed fact even provided instructions assist passengers missed connections amazing act kindness customers rude delays team flight attendants met negativity professional grace positivity explaining delays best abilitity level humor engagement quality service professionalism empathy wonderful please celebrate congratulate following crew amazing job done celestine armstead derric allen rogers phillip jefferey sorel please dont forget pilot team well captain leon boyd newman jr flight officer christian winford barnes thanks excellent job done mist difficult situation control love southwest,positive
"Southwest Airlines is the best airline. We recently experienced a maintenance issue during one of our connecting flights. However, the Southwest staff handled the situation with exceptional professionalism and provided us with an alternate plane. To our surprise, we received an email this morning informing us that they would be sending a voucher as a gesture of goodwill for the inconvenience, without us even having to request it. This is a prime example of how a business should operate. I am grateful that I chose Southwest Airlines and will continue to choose them in the future because they truly deserve it.",southwest airlines best airline recently experienced maintenance issue one connecting flights however southwest staff handled situation exceptional professionalism provided us alternate plane surprise received email morning informing us would sending voucher gesture goodwill inconvenience without us even request prime example business operate grateful chose southwest airlines continue choose future truly deserve,positive
The flight from Pittsburgh to Phoenix was beautiful and have no complaints there. But at Sky Harbor airport at Baggage Claim my suitcase is purple and it's a plastic one with a pink name tag. Also the zipper that you can open to expand doesn't zip all the way. So I saw my suitcase and grabbed it bc of those identifiers. About 20 minutes later southwest representative calls me and said I had the wrong suitcase and of course I was so embarrassed and my step dad takes me back to the airport we were 20 minutes away. I get there and was apologizing a lot. The one Southwest employee a black woman went off on me and I was blown away. It was uncalled for and she was about to be recorded. So then I explained to the male employee what through me off and he agreed when be looked at the suitcases side by side that zipper was like mine and the pink tag like mineYes I should have looked at my name and I learned a lesson from it. And the person who the suitcase belong to was so ignorant I understood she was upset I would be also. However when I'm apologizing and I legit felt bad the least she could have done was acknowledge that. And your employee yelling at me in front of people was the most disgusting way to treat people in that line of work. I'm 52 yrs old and worked in customer service my adult life and I have never treated anyone like that. I could give her a pass if i was ignorant to her. It's not like I was in the plane to another state I was 20 minutes away and I never touched the suitcase from putting it in the car. I landed at 7:05 pm from Pittsburgh to Sky harbor on Flight 3466. My name is Michelle Strachan and the black woman who is a southwest employee that yelled at me like a child in front of people should be dealt with because she will cause that airline more problems without a doubt. And it was a honest mistake that I felt bad about and please pay attention when a customer  goes through something like that and is it in your policy to Tell your employees to yell at another adult who is not being disrespectful at all that it's acceptable that they act that way. I didn't record her but I almost did and it would have big a huge headache for your damage control team.,flight pittsburgh phoenix beautiful complaints sky harbor airport baggage claim suitcase purple plastic one pink name tag also zipper open expand doesnt zip way saw suitcase grabbed bc identifiers minutes later southwest representative calls said wrong suitcase course embarrassed step dad takes back airport minutes away get apologizing lot one southwest employee black woman went blown away uncalled recorded explained male employee agreed looked suitcases side side zipper like mine pink tag like mineyes looked name learned lesson person suitcase belong ignorant understood upset would also however im apologizing legit felt bad least could done acknowledge employee yelling front people disgusting way treat people line work im yrs old worked customer service adult life never treated anyone like could give pass ignorant like plane another state minutes away never touched suitcase putting car landed pm pittsburgh sky harbor flight name michelle strachan black woman southwest employee yelled like child front people dealt cause airline problems without doubt honest mistake felt bad please pay attention customer goes something like policy tell employees yell another adult disrespectful acceptable act way didnt record almost would big huge headache damage control team,negative
"I was coming home from Reagan International airport to St Louis on flight 4670, the landing was the most horrible experience I have ever had with ANY airlines. I really thought we weren’t going to make it, the worst flight ever!!!I have been traveling with Southwest for years…. I should probably change.",coming home reagan international airport st louis flight landing horrible experience ever airlines really thought werent going make worst flight everi traveling southwest years probably change,negative
"we flew for the first time and they ruined my luggage. the lady at the baggage dept told us to scan the bar code but never said you have 4 hrs. go to website big issues so had to have nice lady file for us told us they are good at taken care of this issue. send all the info pictures and receipt. Now told nope not paying cause you only had 4 hrs. so this is now they treat customers. Will never Fly them again. they do owe me for destroying my suitcase, it to top it off the lady who works for them said happens all the time and you shouldn't buy that kind cause it doesn't expand wasn't that nice of her.jamie",flew first time ruined luggage lady baggage dept told us scan bar code never said hrs go website big issues nice lady file us told us good taken care issue send info pictures receipt told nope paying cause hrs treat customers never fly owe destroying suitcase top lady works said happens time shouldnt buy kind cause doesnt expand wasnt nice herjamie,positive
This airline is BROKEN and I hope Elliot Management can turn it around.  Please stop trying with the folksy inflight service attempts and just fix your planes and upgrade your maintenance problems  #lasvegas #5022 #abq,airline broken hope elliot management turn around please stop trying folksy inflight service attempts fix planes upgrade maintenance problems lasvegas abq,negative
"I would like to take out this time to thank Michele Peebles for being so diligent and calling my family back in regards to my mom‘s walker that she left at the airport the service was outstanding, and hopefully this reaches the right individual to give her her recognition of representing the company very well. This just goes to show they’re still good people out there and we definitely appreciate your services. Hopefully you have a great and bless day and thanks once again for being who you are a genuine kindhearted person we wish you all the best and keep doing what you’re doing and that’s being great",would like take time thank michele peebles diligent calling family back regards moms walker left airport service outstanding hopefully reaches right individual give recognition representing company well goes show theyre still good people definitely appreciate services hopefully great bless day thanks genuine kindhearted person wish best keep youre thats great,positive
Honestly all the flights I have been on this year (5+) have been delayed and I am pretty tired of them not knowing why/doing anything to fix it. Sure you get baggage check for free but at 2hrs delay not worth it. The quality has plummeted. I cannot wait for the new law to come into affect because Southwest will owe their customers millions. About time they had someone keep them accountable.,honestly flights year delayed pretty tired knowing whydoing anything fix sure get baggage check free hrs delay worth quality plummeted cannot wait new law come affect southwest owe customers millions time someone keep accountable,positive
"Southwest Hotels provided the worst, most botched up hotel reservation experience of my life, and I'm a 63-yr-old frequent traveler, so that takes some doing!In mid-March booked a hotel stay  for 5 nights in June in Orange County. Received confirmation of the booking by Southwest, who was usin Agoda search engine. All seemed fine; Southwest even emailed me about the upcoming stay more than once to make sure I was organized. Then, we arrive on the day, and there is no booking in the hotel's system. An hour on the phone in the hotel lobby (mostly on hold) with Southwest Concierge, and finally they tell me they had a problem getting the payment that was successfully charged to my credit card in March to the hotel.No attempt to contact me. No attempt to fix it and find me another hotel. No offer of points for my trouble or.to compensate me in any way for the stress and inconvenience they caused me and my partner. Just s lame apology from the poor sap at the call center and an ""offer"" to refund me the money charged to my credit card in March in 7-10 business days.Southwest needs to GET OUT of the business of hotel booking, as a look in google shows their performance is horrendously bad. I will never use this joke of a service again, and neither should anyone who wants to be able to trust that their hitel confirmation actually IS a confirmation without having to follow up behind the booking agency.For your peace of mind, I recommend you AVOID SOUTHWEST HOTELS ENTIRELY and Use Booking.com instead. That's who I turned to to secure a hotel stay at the last minute. I've used them dozens of times with no issues like this. Until Southwest Hotels can get its act together, it is likely to cause you grief.",southwest hotels provided worst botched hotel reservation experience life im yrold frequent traveler takes doingin midmarch booked hotel stay nights june orange county received confirmation booking southwest usin agoda search engine seemed fine southwest even emailed upcoming stay make sure organized arrive day booking hotels system hour phone hotel lobby mostly hold southwest concierge finally tell problem getting payment successfully charged credit card march hotelno attempt contact attempt fix find another hotel offer points trouble orto compensate way stress inconvenience caused partner lame apology poor sap call center offer refund money charged credit card march business dayssouthwest needs get business hotel booking look google shows performance horrendously bad never use joke service neither anyone wants able trust hitel confirmation actually confirmation without follow behind booking agencyfor peace mind recommend avoid southwest hotels entirely use bookingcom instead thats turned secure hotel stay last minute ive used dozens times issues like southwest hotels get act together likely cause grief,negative
I have almost always had great experience with Southwest Airlines. Great rewards program. Good flight experiences (except for weather delays that affect all airlines). Lack of extra fees for flight changes and baggage. Friendly staff.A couple of caveats: They never seem to have direct flights to anywhere I want to go. The Internet is often down. Business select doesn't offer much if you don't want a free drink. Early boarding (low A's) doesn't mean as much if there are so many preboarders.,almost always great experience southwest airlines great rewards program good flight experiences except weather delays affect airlines lack extra fees flight changes baggage friendly staffa couple caveats never seem direct flights anywhere want go internet often business select doesnt offer much dont want free drink early boarding low doesnt mean much many preboarders,positive
"This airline is quite straightforward, you know what you will pay and there are no hidden fees. Plus the 2 checked in luggage pieces are an advantage",airline quite straightforward know pay hidden fees plus checked luggage pieces advantage,positive
"THE WORSE RAPID REWARDS PROGRAM FOR HOTELS! they are deceitful. They are liars. They told me I would get a refund for a hotel if the hotel would accept the refund. Hotel accepted. Got them both on the same line. They completely lied. Daniela is the supervisor- truly worse customer service rep I have ever encountered. She is not a problem solver, has no customer service etiquette.  I have a SW airlines credit card I will be canceling. I will no longer be flying or using miles on SW airlines. the WORST",worse rapid rewards program hotels deceitful liars told would get refund hotel hotel would accept refund hotel accepted got line completely lied daniela supervisor truly worse customer service rep ever encountered problem solver customer service etiquette sw airlines credit card canceling longer flying using miles sw airlines worst,negative
It’s not just one time! It’s multiple times and occasions I’ve been stuck dealing with bad service from southwest: I’m currently on a flight now that hasn’t taken off because some unknown occurrence. This stuff is terrible and it’s time for change! I mean for myself! I’m on my way to never flying southwest again. Never should my American dollars be used to help fund another person agenda at the cost of my happiness. 🖕🏽🖕🏽 southwest,one time multiple times occasions ive stuck dealing bad service southwest im currently flight hasnt taken unknown occurrence stuff terrible time change mean im way never flying southwest never american dollars used help fund another person agenda cost happiness southwest,negative
It’s hit and miss on flight experience. Some attendants are rude. DO NOT purchase their internet. It is the worst. All other airlines are better. They are always in the crappiest parts of airports. I reached out to customer service on the plane and told to contact customer service. It was their online customer service. I was on the plane and I told them. I basically got “too bad.”  Thank god my company is moving towards Delta.,hit miss flight experience attendants rude purchase internet worst airlines better always crappiest parts airports reached customer service plane told contact customer service online customer service plane told basically got bad thank god company moving towards delta,negative
"I fly from Las Vegas to Long Beach very frequently in the last two times I’ve flown I’ve try to sit by the window and people say that the seat is reserved.  I’m like, can passengers do that?  I’m in the flight right now and it happened again.  I believe is open seat.  Not to reserve.  Thank you for listening",fly las vegas long beach frequently last two times ive flown ive try sit window people say seat reserved im like passengers im flight right happened believe open seat reserve thank listening,positive
If you get a text stating your flight is delayed...IGNORE IT since they can still board and leave at the original time.  They claim the text is a courtesy notice to leave you stranded which happened to my husbands flight today from Tampa to Denver...text said flt 1110 was departing at 1:38pm instead of 11:40am...it left at 12:04pm.,get text stating flight delayedignore since still board leave original time claim text courtesy notice leave stranded happened husbands flight today tampa denvertext said flt departing pm instead amit left pm,positive
"Fly them all the time.  Flying today and the flight attendant forced me to remove my bag from the overhead for someone whos bag was too big to fit under the seat.  The person came on late with 2 bags.  I had one, but they made mw move mine.  Im well over 6ft tall.and this left me with no leg room to stretch.  Usually I can stretch out with my legs under the seat in front of me but not today.  If thats how Southwest wants to treat loyal customers, I will fly someone else",fly time flying today flight attendant forced remove bag overhead someone whos bag big fit seat person came late bags one made mw move mine im well ft talland left leg room stretch usually stretch legs seat front today thats southwest wants treat loyal customers fly someone else,positive
"I had things stolen from my checked baggage. I also don't like that they don't assign seats. You are put into a group and one group at a time goes on the plane and you can sit where you want. I paid for business select and didn't get a good seat. I paid $125 to get upgraded and it was for nothing. Also, one of the luggage check-in guys was very rude to me and I only asked a reasonable question. I will NEVER fly this airline again.",things stolen checked baggage also dont like dont assign seats put group one group time goes plane sit want paid business select didnt get good seat paid get upgraded nothing also one luggage checkin guys rude asked reasonable question never fly airline,positive
"We have been flying Southwest Air for many years.  Well, yesterday on Flight 1571 from LAX to BWI, we experienced the worse flight of our life.  There was an older Flight Attendant that was not allowing people to get to the bathroom, she tossed snacks at you, and yelled loudly at an elderly gentleman.  The Lead Flight Attendant told us that WiFi would not be available on our flight.  For almost five (5) hours, we listened at crying, loud babies and kids.  My Husband called today to complain about the problems and was pretty much blown off by another older sounding woman at their Corporate Office.  Their flights are now full, the bottom of the seat is thin and if you are sitting in front of a child, you could be kicked in your back the entire flight—my experience.  No longer recommended!",flying southwest air many years well yesterday flight lax bwi experienced worse flight life older flight attendant allowing people get bathroom tossed snacks yelled loudly elderly gentleman lead flight attendant told us wifi would available flight almost five hours listened crying loud babies kids husband called today complain problems pretty much blown another older sounding woman corporate office flights full bottom seat thin sitting front child could kicked back entire flightmy experience longer recommended,positive
"I missed my flight due to auto problems, then when I got to the airport, the agent booked me for the next flight. Except she didn't book my second leg, or my return flights, and didn't tell me. At the gate I asked the gate agent about my connecting flight and the guy said I didn't have one. So he booked that for me, but didn't book a return flight, and he didn't tell me that. I guess, stupid me, I assumed those jerks would know I have to get back home and paid for a round trip fare. A couple days later when I didn't see a ""check in"" email for my return flight. I called and they said I didn't have a return flight and would have to pay another $198 to fly back. So I got double charged for the exact same flight because two agents screwed up. Their customer service/complaints people basically told me to go pound sand, it's just policy. What crap. I've never been treated so badly by an airline, and I fly a ton. That's it for southwest. I'm taking my business elsewhere.",missed flight due auto problems got airport agent booked next flight except didnt book second leg return flights didnt tell gate asked gate agent connecting flight guy said didnt one booked didnt book return flight didnt tell guess stupid assumed jerks would know get back home paid round trip fare couple days later didnt see check email return flight called said didnt return flight would pay another fly back got double charged exact flight two agents screwed customer servicecomplaints people basically told go pound sand policy crap ive never treated badly airline fly ton thats southwest im taking business elsewhere,negative
"Southwest has always been my go to airlines. Being wheelchair bound disabled, no airlines has done such a outstanding job as Southwest. They've always treated me with upmost respect, helping me from my chair into my seat and folding my power wheelchair down so it can be loaded into the belly of the plane. Of all my locations, the staff that handles luggage, has taken great care of my wheelchair as it weighs 65 lbs. I can't express my gratitude enough for all they do.",southwest always go airlines wheelchair bound disabled airlines done outstanding job southwest theyve always treated upmost respect helping chair seat folding power wheelchair loaded belly plane locations staff handles luggage taken great care wheelchair weighs lbs cant express gratitude enough,positive
SWA has a number of good features like low prices - we do not pay for upgrade to sit closer to the front - and SWA does not charge for checked bags. Changes/transfers are easy and don't cost too much if you get the upgrade. I have the Rapid Rewards credit card that earns points with everything you purchased. My round-trip flight from KC to Philadelphia was purchased with points.,swa number good features like low prices pay upgrade sit closer front swa charge checked bags changestransfers easy dont cost much get upgrade rapid rewards credit card earns points everything purchased roundtrip flight kc philadelphia purchased points,positive
"Worst airline. I made the mistake of paying double for their “ business class.” What a huge mistake. I thought I was treating myself but unfortunately about 30% pre boarded and took all of the premium rows. So even being A3, I was far back, crappy uncomfortable seats.Pro tip, fake a handicap and you can get the  perimeter seats for no extra charge.",worst airline made mistake paying double business class huge mistake thought treating unfortunately pre boarded took premium rows even far back crappy uncomfortable seatspro tip fake handicap get perimeter seats extra charge,negative
